Job ID,Job Title,Company,Salary Range,Required Experience,Remote,Description Length,Has Company Logo,Fraud Score,Fraudulent
109,Data Analyst,BrightFuture,10-15 LPA,7,No,121,Yes,0,No
110,Intern,XYZ Corp,6-10 LPA,7,Yes,104,Yes,0,No
111,Data Analyst,Global Solutions,10-15 LPA,0,Yes,20,No,3,Yes
112,Work from Home,ABC Ltd,4-6 LPA,0,Yes,395,No,2,No
113,Work from Home,NextGen,4-6 LPA,1,Yes,759,No,1,No
114,Marketing Manager,ABC Ltd,4-6 LPA,3,Yes,576,Yes,0,No
115,Marketing Manager,TechSoft,20+ LPA,1,Yes,132,Yes,1,No
116,HR Executive,BrightFuture,4-6 LPA,3,No,603,Yes,0,No
117,Marketing Manager,ABC Ltd,15-20 LPA,0,No,237,Yes,2,No
118,Data Analyst,NextGen,4-6 LPA,0,No,131,No,2,No
119,Software Engineer,NextGen,15-20 LPA,0,No,41,No,4,Yes
120,Work from Home,Global Solutions,10-15 LPA,3,Yes,647,No,1,No
121,Business Analyst,ABC Ltd,15-20 LPA,3,Yes,295,Yes,1,No
122,Software Engineer,TechSoft,4-6 LPA,3,No,557,No,1,No
123,HR Executive,Innova,15-20 LPA,5,Yes,241,No,2,No
124,Data Analyst,BrightFuture,4-6 LPA,0,No,321,No,2,No
125,Business Analyst,ABC Ltd,20+ LPA,3,No,292,No,2,No
126,Work from Home,Innova,4-6 LPA,1,No,261,No,1,No
127,Software Engineer,NextGen,6-10 LPA,2,No,437,Yes,0,No
128,Work from Home,BrightFuture,2-4 LPA,1,No,152,Yes,0,No
129,Intern,Global Solutions,6-10 LPA,3,Yes,274,No,1,No
130,HR Executive,NextGen,10-15 LPA,0,Yes,775,No,2,No
131,HR Executive,ABC Ltd,4-6 LPA,7,Yes,285,No,1,No
132,Data Analyst,Innova,6-10 LPA,1,No,443,Yes,0,No
133,HR Executive,XYZ Corp,15-20 LPA,2,Yes,60,Yes,2,No
134,Intern,Global Solutions,20+ LPA,5,Yes,166,Yes,1,No
135,Software Engineer,TechSoft,20+ LPA,5,No,187,No,2,No
136,Marketing Manager,Innova,2-4 LPA,2,No,413,No,1,No
137,Business Analyst,Global Solutions,4-6 LPA,0,Yes,102,No,2,No
138,Data Analyst,Global Solutions,20+ LPA,3,No,489,Yes,1,No
139,Data Analyst,BrightFuture,15-20 LPA,3,Yes,629,No,2,No
140,Data Analyst,Innova,10-15 LPA,2,Yes,400,Yes,0,No
141,Software Engineer,Innova,4-6 LPA,0,No,688,Yes,1,No
142,Data Analyst,Global Solutions,4-6 LPA,5,Yes,276,No,1,No
143,Intern,Global Solutions,20+ LPA,2,No,716,Yes,1,No
144,Intern,NextGen,10-15 LPA,7,Yes,173,No,1,No
145,Work from Home,TechSoft,2-4 LPA,3,Yes,263,No,1,No
146,Software Engineer,XYZ Corp,4-6 LPA,5,No,755,No,1,No
147,Work from Home,ABC Ltd,20+ LPA,1,No,729,No,2,No
148,Software Engineer,XYZ Corp,2-4 LPA,3,Yes,59,Yes,1,No
149,Business Analyst,NextGen,15-20 LPA,2,Yes,209,Yes,1,No
150,Data Analyst,ABC Ltd,6-10 LPA,1,Yes,490,Yes,0,No
151,Data Analyst,ABC Ltd,15-20 LPA,5,No,455,No,2,No
152,Marketing Manager,ABC Ltd,20+ LPA,0,No,400,Yes,2,No
153,Business Analyst,BrightFuture,6-10 LPA,3,Yes,315,No,1,No
154,Data Analyst,XYZ Corp,4-6 LPA,1,No,514,No,1,No
155,Work from Home,BrightFuture,4-6 LPA,2,Yes,568,Yes,0,No
156,Marketing Manager,BrightFuture,20+ LPA,3,Yes,618,Yes,1,No
157,Marketing Manager,Innova,4-6 LPA,0,Yes,198,No,2,No
158,Software Engineer,BrightFuture,10-15 LPA,3,No,122,No,1,No
159,Work from Home,ABC Ltd,10-15 LPA,5,Yes,153,Yes,0,No
160,Data Analyst,TechSoft,10-15 LPA,2,Yes,212,No,1,No
161,Marketing Manager,Global Solutions,6-10 LPA,0,Yes,335,No,2,No
162,Marketing Manager,ABC Ltd,20+ LPA,7,No,592,Yes,1,No
163,Intern,TechSoft,15-20 LPA,7,No,367,No,2,No
164,Intern,BrightFuture,10-15 LPA,7,Yes,153,No,1,No
165,Work from Home,TechSoft,15-20 LPA,5,No,534,No,2,No
166,Software Engineer,TechSoft,10-15 LPA,1,No,149,Yes,0,No
167,Business Analyst,ABC Ltd,15-20 LPA,3,Yes,172,No,2,No
168,Marketing Manager,NextGen,20+ LPA,2,Yes,764,No,2,No
169,Work from Home,Global Solutions,20+ LPA,3,Yes,278,Yes,1,No
170,Intern,BrightFuture,10-15 LPA,2,Yes,777,Yes,0,No
171,Work from Home,NextGen,20+ LPA,3,Yes,330,No,2,No
172,Software Engineer,BrightFuture,4-6 LPA,3,No,183,Yes,0,No
173,Marketing Manager,Innova,15-20 LPA,5,No,368,Yes,1,No
174,Software Engineer,XYZ Corp,2-4 LPA,5,Yes,680,Yes,0,No
175,Intern,XYZ Corp,10-15 LPA,5,Yes,563,No,1,No
176,HR Executive,XYZ Corp,2-4 LPA,5,No,210,Yes,0,No
177,Software Engineer,BrightFuture,15-20 LPA,2,No,577,Yes,1,No
178,Marketing Manager,Innova,20+ LPA,5,No,100,Yes,1,No
179,Software Engineer,BrightFuture,6-10 LPA,3,Yes,105,Yes,0,No
180,Marketing Manager,Global Solutions,20+ LPA,7,Yes,533,Yes,1,No
181,Data Analyst,BrightFuture,10-15 LPA,5,Yes,602,No,1,No
182,Marketing Manager,XYZ Corp,4-6 LPA,0,Yes,260,Yes,1,No
183,Marketing Manager,NextGen,10-15 LPA,5,No,545,Yes,0,No
184,Marketing Manager,Innova,2-4 LPA,7,Yes,234,Yes,0,No
185,Software Engineer,NextGen,20+ LPA,5,Yes,255,No,2,No
186,Data Analyst,ABC Ltd,2-4 LPA,1,Yes,326,No,1,No
187,Work from Home,XYZ Corp,15-20 LPA,7,No,31,Yes,2,No
188,Business Analyst,BrightFuture,2-4 LPA,3,No,61,Yes,1,No
189,HR Executive,TechSoft,4-6 LPA,2,Yes,130,No,1,No
190,Marketing Manager,BrightFuture,20+ LPA,7,Yes,230,Yes,1,No
191,Software Engineer,ABC Ltd,15-20 LPA,3,Yes,118,No,2,No
192,Intern,Global Solutions,6-10 LPA,1,No,517,No,1,No
193,HR Executive,Global Solutions,2-4 LPA,2,Yes,228,No,1,No
194,Business Analyst,XYZ Corp,20+ LPA,1,Yes,395,Yes,1,No
195,Software Engineer,NextGen,20+ LPA,3,Yes,485,No,2,No
196,Data Analyst,TechSoft,20+ LPA,3,No,370,No,2,No
197,Intern,XYZ Corp,4-6 LPA,3,No,615,No,1,No
198,Work from Home,NextGen,10-15 LPA,2,Yes,353,No,1,No
199,Marketing Manager,ABC Ltd,20+ LPA,0,Yes,482,Yes,2,No
200,Marketing Manager,TechSoft,15-20 LPA,3,Yes,495,No,2,No
201,Software Engineer,BrightFuture,6-10 LPA,7,Yes,556,Yes,0,No
202,Data Analyst,XYZ Corp,4-6 LPA,7,No,236,Yes,0,No
203,Work from Home,XYZ Corp,15-20 LPA,2,Yes,213,No,2,No
204,Intern,XYZ Corp,6-10 LPA,2,Yes,587,Yes,0,No
205,Marketing Manager,ABC Ltd,10-15 LPA,3,No,491,No,1,No
206,Marketing Manager,TechSoft,20+ LPA,1,Yes,154,Yes,1,No
207,Intern,NextGen,4-6 LPA,1,Yes,409,Yes,0,No
208,Work from Home,NextGen,4-6 LPA,5,Yes,556,Yes,0,No
209,Data Analyst,BrightFuture,15-20 LPA,5,No,67,No,3,Yes
210,HR Executive,XYZ Corp,10-15 LPA,2,Yes,526,No,1,No
211,Work from Home,NextGen,20+ LPA,2,Yes,716,No,2,No
212,Business Analyst,TechSoft,10-15 LPA,2,Yes,575,Yes,0,No
213,Intern,XYZ Corp,6-10 LPA,0,No,487,Yes,1,No
214,Software Engineer,ABC Ltd,10-15 LPA,5,Yes,160,No,1,No
215,Work from Home,XYZ Corp,4-6 LPA,0,No,751,Yes,1,No
216,HR Executive,Global Solutions,15-20 LPA,5,No,717,No,2,No
217,Business Analyst,ABC Ltd,20+ LPA,0,No,115,No,3,Yes
218,Software Engineer,Global Solutions,15-20 LPA,7,Yes,211,Yes,1,No
219,Marketing Manager,ABC Ltd,2-4 LPA,5,No,598,Yes,0,No
220,Software Engineer,ABC Ltd,2-4 LPA,1,No,46,No,2,No
221,Data Analyst,Innova,6-10 LPA,3,Yes,468,No,1,No
222,Intern,Innova,10-15 LPA,2,No,278,Yes,0,No
223,Intern,ABC Ltd,20+ LPA,0,No,99,Yes,3,Yes
224,Business Analyst,ABC Ltd,4-6 LPA,2,No,431,No,1,No
225,Business Analyst,ABC Ltd,6-10 LPA,7,Yes,387,No,1,No
226,Data Analyst,BrightFuture,4-6 LPA,1,Yes,313,No,1,No
227,HR Executive,XYZ Corp,2-4 LPA,1,No,43,Yes,1,No
228,Marketing Manager,ABC Ltd,2-4 LPA,7,No,522,Yes,0,No
229,Work from Home,XYZ Corp,10-15 LPA,5,Yes,581,No,1,No
230,Software Engineer,ABC Ltd,15-20 LPA,7,No,768,No,2,No
231,Intern,Global Solutions,15-20 LPA,7,No,476,Yes,1,No
232,Intern,XYZ Corp,20+ LPA,7,No,27,Yes,2,No
233,HR Executive,TechSoft,6-10 LPA,1,Yes,421,Yes,0,No
234,Software Engineer,ABC Ltd,20+ LPA,1,Yes,189,Yes,1,No
235,Data Analyst,Innova,20+ LPA,7,Yes,376,No,2,No
236,Business Analyst,Innova,20+ LPA,7,Yes,741,No,2,No
237,Marketing Manager,ABC Ltd,2-4 LPA,3,Yes,46,No,2,No
238,Software Engineer,Global Solutions,2-4 LPA,3,No,60,Yes,1,No
239,Software Engineer,ABC Ltd,4-6 LPA,1,No,41,No,2,No
240,Intern,BrightFuture,6-10 LPA,0,No,65,Yes,2,No
241,HR Executive,BrightFuture,2-4 LPA,1,Yes,285,Yes,0,No
242,HR Executive,BrightFuture,6-10 LPA,7,No,194,No,1,No
243,HR Executive,ABC Ltd,4-6 LPA,5,No,698,Yes,0,No
244,Marketing Manager,Global Solutions,10-15 LPA,2,Yes,125,No,1,No
245,Work from Home,BrightFuture,10-15 LPA,5,Yes,350,No,1,No
246,Intern,TechSoft,15-20 LPA,0,No,538,Yes,2,No
247,Work from Home,BrightFuture,15-20 LPA,5,No,630,Yes,1,No
248,HR Executive,Global Solutions,20+ LPA,7,No,226,No,2,No
249,Software Engineer,TechSoft,6-10 LPA,1,Yes,520,Yes,0,No
250,Intern,ABC Ltd,15-20 LPA,2,Yes,254,Yes,1,No
251,Intern,Innova,20+ LPA,0,Yes,317,No,3,Yes
252,Business Analyst,Innova,10-15 LPA,1,No,48,No,2,No
253,Software Engineer,TechSoft,2-4 LPA,1,Yes,424,Yes,0,No
254,Work from Home,BrightFuture,15-20 LPA,1,No,74,Yes,2,No
255,Marketing Manager,XYZ Corp,10-15 LPA,0,Yes,583,Yes,1,No
256,Business Analyst,XYZ Corp,4-6 LPA,7,Yes,479,No,1,No
257,Data Analyst,XYZ Corp,6-10 LPA,2,Yes,400,Yes,0,No
258,HR Executive,BrightFuture,4-6 LPA,7,No,640,No,1,No
259,Intern,XYZ Corp,15-20 LPA,7,Yes,423,No,2,No
260,HR Executive,XYZ Corp,2-4 LPA,2,No,125,Yes,0,No
261,Business Analyst,Innova,4-6 LPA,2,Yes,726,No,1,No
262,Work from Home,XYZ Corp,15-20 LPA,2,Yes,445,No,2,No
263,Data Analyst,BrightFuture,2-4 LPA,2,No,368,Yes,0,No
264,Intern,BrightFuture,15-20 LPA,1,No,724,Yes,1,No
265,HR Executive,TechSoft,6-10 LPA,5,Yes,186,No,1,No
266,Software Engineer,TechSoft,4-6 LPA,1,No,91,Yes,1,No
267,Software Engineer,Global Solutions,2-4 LPA,5,Yes,335,No,1,No
268,Marketing Manager,ABC Ltd,4-6 LPA,7,Yes,504,Yes,0,No
269,Data Analyst,Innova,15-20 LPA,1,No,660,Yes,1,No
270,Data Analyst,TechSoft,6-10 LPA,3,Yes,147,Yes,0,No
271,Data Analyst,Global Solutions,6-10 LPA,0,No,431,No,2,No
272,Marketing Manager,Global Solutions,20+ LPA,0,No,144,Yes,2,No
273,Marketing Manager,Global Solutions,4-6 LPA,3,No,29,No,2,No
274,Marketing Manager,TechSoft,4-6 LPA,5,No,51,No,2,No
275,Work from Home,BrightFuture,4-6 LPA,5,No,557,No,1,No
276,Business Analyst,TechSoft,10-15 LPA,5,Yes,730,Yes,0,No
277,Business Analyst,NextGen,20+ LPA,0,No,179,Yes,2,No
278,Intern,Global Solutions,4-6 LPA,0,Yes,432,Yes,1,No
279,HR Executive,XYZ Corp,4-6 LPA,2,Yes,611,Yes,0,No
280,Marketing Manager,XYZ Corp,6-10 LPA,2,No,794,Yes,0,No
281,Data Analyst,BrightFuture,10-15 LPA,5,No,193,Yes,0,No
282,Marketing Manager,TechSoft,2-4 LPA,3,Yes,529,Yes,0,No
283,Intern,Innova,4-6 LPA,5,Yes,750,No,1,No
284,Marketing Manager,ABC Ltd,4-6 LPA,7,No,438,No,1,No
285,Data Analyst,ABC Ltd,10-15 LPA,5,Yes,397,Yes,0,No
286,HR Executive,NextGen,4-6 LPA,3,Yes,626,Yes,0,No
287,Business Analyst,NextGen,2-4 LPA,0,No,113,Yes,1,No
288,Intern,NextGen,2-4 LPA,2,Yes,633,No,1,No
289,Software Engineer,ABC Ltd,2-4 LPA,1,Yes,412,Yes,0,No
290,Data Analyst,BrightFuture,4-6 LPA,3,Yes,332,No,1,No
291,Business Analyst,XYZ Corp,15-20 LPA,5,Yes,359,No,2,No
292,HR Executive,BrightFuture,4-6 LPA,2,Yes,299,No,1,No
293,Software Engineer,NextGen,4-6 LPA,7,Yes,544,Yes,0,No
294,Marketing Manager,BrightFuture,4-6 LPA,5,No,383,No,1,No
295,HR Executive,Global Solutions,4-6 LPA,7,Yes,755,Yes,0,No
296,Software Engineer,ABC Ltd,4-6 LPA,0,No,500,Yes,1,No
297,Software Engineer,TechSoft,15-20 LPA,3,No,798,No,2,No
298,Business Analyst,Global Solutions,15-20 LPA,5,No,216,Yes,1,No
299,Data Analyst,Innova,6-10 LPA,7,Yes,442,No,1,No
300,HR Executive,Innova,6-10 LPA,7,Yes,632,Yes,0,No
301,Work from Home,BrightFuture,20+ LPA,5,Yes,453,Yes,1,No
302,Work from Home,Innova,10-15 LPA,0,Yes,317,Yes,1,No
303,Business Analyst,Global Solutions,15-20 LPA,3,Yes,567,Yes,1,No
304,Business Analyst,TechSoft,10-15 LPA,3,Yes,469,No,1,No
305,Work from Home,ABC Ltd,15-20 LPA,3,No,516,Yes,1,No
306,Marketing Manager,BrightFuture,6-10 LPA,2,Yes,115,No,1,No
307,Intern,TechSoft,15-20 LPA,0,No,362,No,3,Yes
308,Business Analyst,XYZ Corp,10-15 LPA,0,No,426,Yes,1,No
309,Work from Home,XYZ Corp,10-15 LPA,0,No,672,Yes,1,No
310,Data Analyst,XYZ Corp,2-4 LPA,7,No,643,Yes,0,No
311,Marketing Manager,Innova,15-20 LPA,3,No,161,Yes,1,No
312,Data Analyst,BrightFuture,6-10 LPA,2,No,344,Yes,0,No
313,Intern,NextGen,15-20 LPA,0,Yes,297,Yes,2,No
314,Software Engineer,Innova,10-15 LPA,7,No,454,Yes,0,No
315,HR Executive,BrightFuture,6-10 LPA,0,No,742,No,2,No
316,Marketing Manager,Innova,2-4 LPA,1,Yes,505,No,1,No
317,Work from Home,BrightFuture,2-4 LPA,1,No,654,Yes,0,No
318,Marketing Manager,Global Solutions,10-15 LPA,3,No,692,Yes,0,No
319,Business Analyst,TechSoft,4-6 LPA,0,Yes,210,Yes,1,No
320,Data Analyst,XYZ Corp,4-6 LPA,5,No,38,Yes,1,No
321,Business Analyst,TechSoft,10-15 LPA,5,No,300,No,1,No
322,HR Executive,XYZ Corp,6-10 LPA,5,Yes,772,Yes,0,No
323,Data Analyst,Global Solutions,20+ LPA,2,Yes,792,No,2,No
324,Software Engineer,Innova,10-15 LPA,5,No,205,No,1,No
325,Data Analyst,BrightFuture,10-15 LPA,5,Yes,524,Yes,0,No
326,Marketing Manager,ABC Ltd,15-20 LPA,5,No,441,Yes,1,No
327,HR Executive,XYZ Corp,6-10 LPA,3,No,26,No,2,No
328,Data Analyst,BrightFuture,4-6 LPA,5,Yes,213,Yes,0,No
329,HR Executive,NextGen,6-10 LPA,2,Yes,261,Yes,0,No
330,Marketing Manager,Innova,15-20 LPA,3,No,71,No,3,Yes
331,HR Executive,NextGen,4-6 LPA,7,No,427,No,1,No
332,Work from Home,ABC Ltd,15-20 LPA,1,Yes,51,Yes,2,No
333,Software Engineer,NextGen,10-15 LPA,7,No,466,Yes,0,No
334,Marketing Manager,TechSoft,15-20 LPA,1,No,444,Yes,1,No
335,Intern,TechSoft,15-20 LPA,5,No,523,No,2,No
336,Intern,Global Solutions,4-6 LPA,0,No,61,No,3,Yes
337,Data Analyst,BrightFuture,15-20 LPA,7,No,377,Yes,1,No
338,Marketing Manager,NextGen,6-10 LPA,1,No,416,Yes,0,No
339,Data Analyst,BrightFuture,4-6 LPA,7,No,170,No,1,No
340,Software Engineer,NextGen,4-6 LPA,7,No,736,No,1,No
341,Data Analyst,ABC Ltd,15-20 LPA,1,Yes,203,No,2,No
342,Intern,Global Solutions,10-15 LPA,2,No,128,No,1,No
343,Intern,Global Solutions,20+ LPA,3,Yes,52,No,3,Yes
344,Data Analyst,TechSoft,4-6 LPA,5,Yes,244,Yes,0,No
345,Data Analyst,Innova,20+ LPA,3,No,38,No,3,Yes
346,Business Analyst,XYZ Corp,6-10 LPA,1,Yes,248,Yes,0,No
347,Intern,ABC Ltd,15-20 LPA,1,No,158,No,2,No
348,HR Executive,Innova,15-20 LPA,3,No,443,No,2,No
349,Software Engineer,ABC Ltd,10-15 LPA,0,Yes,427,No,2,No
350,Data Analyst,NextGen,6-10 LPA,3,No,173,No,1,No
351,Intern,BrightFuture,2-4 LPA,0,Yes,699,Yes,1,No
352,Intern,TechSoft,6-10 LPA,3,No,545,Yes,0,No
353,HR Executive,NextGen,6-10 LPA,3,No,29,Yes,1,No
354,Marketing Manager,ABC Ltd,20+ LPA,5,No,747,No,2,No
355,Work from Home,Global Solutions,20+ LPA,3,Yes,463,Yes,1,No
356,Work from Home,ABC Ltd,6-10 LPA,0,No,770,No,2,No
357,Data Analyst,TechSoft,4-6 LPA,3,Yes,594,No,1,No
358,Work from Home,ABC Ltd,4-6 LPA,0,No,546,Yes,1,No
359,Work from Home,NextGen,20+ LPA,1,Yes,615,No,2,No
360,Data Analyst,NextGen,2-4 LPA,5,No,563,Yes,0,No
361,Work from Home,ABC Ltd,6-10 LPA,5,Yes,632,Yes,0,No
362,Work from Home,Global Solutions,6-10 LPA,1,Yes,326,No,1,No
363,Business Analyst,Innova,6-10 LPA,5,No,733,No,1,No
364,Intern,TechSoft,20+ LPA,2,No,393,Yes,1,No
365,Business Analyst,Innova,10-15 LPA,1,Yes,451,No,1,No
366,Work from Home,TechSoft,15-20 LPA,7,Yes,583,Yes,1,No
367,Work from Home,Innova,4-6 LPA,0,No,375,Yes,1,No
368,Marketing Manager,TechSoft,10-15 LPA,3,Yes,759,No,1,No
369,Business Analyst,XYZ Corp,6-10 LPA,3,No,282,Yes,0,No
370,Business Analyst,BrightFuture,10-15 LPA,1,No,412,Yes,0,No
371,Data Analyst,ABC Ltd,10-15 LPA,5,Yes,91,No,2,No
372,Data Analyst,ABC Ltd,10-15 LPA,0,Yes,348,No,2,No
373,Marketing Manager,XYZ Corp,4-6 LPA,2,No,776,Yes,0,No
374,HR Executive,ABC Ltd,20+ LPA,2,No,411,No,2,No
375,Data Analyst,Global Solutions,10-15 LPA,2,No,107,Yes,0,No
376,Marketing Manager,BrightFuture,2-4 LPA,5,No,722,Yes,0,No
